Code;Town;Registered;Envelopes;Valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
523917;Bělá pod Pradědem;1546;945;938;77;1;0;47;2;53;70;8;12;10;0;1;79;1;33;331;0;3;42;0;7;0;1;158;2
524891;Bernartice;703;344;343;24;0;0;25;1;6;38;1;1;1;0;0;15;0;5;149;2;1;13;1;0;1;1;58;0
525227;Bílá Voda;242;140;138;17;1;0;7;1;5;14;6;2;0;0;0;13;0;9;18;1;0;16;0;0;1;1;25;1
533491;Černá Voda;495;269;269;14;0;0;14;1;16;30;2;1;4;0;0;27;0;13;89;2;1;15;0;0;0;0;40;0
569356;Česká Ves;1964;1139;1126;62;0;0;70;4;139;92;9;8;10;0;0;64;4;61;355;0;0;52;0;2;0;1;193;0
553301;Hradec-Nová Ves;312;162;161;15;0;0;12;0;13;14;3;1;2;0;0;12;0;0;46;3;0;10;0;1;0;0;29;0
536148;Javorník;2269;1229;1212;99;3;1;111;0;23;137;14;11;12;0;0;100;2;19;419;1;4;48;0;7;2;1;194;4
536385;Jeseník;9650;5568;5528;446;4;6;392;2;371;456;46;32;49;11;8;457;1;355;1745;6;15;230;2;32;15;6;826;15
557218;Kobylá nad Vidnavkou;341;169;167;6;0;2;5;0;9;25;2;2;0;0;0;6;0;4;56;0;1;22;0;0;0;0;27;0
540030;Lipová-lázně;1903;1106;1086;102;1;0;70;0;40;109;15;4;20;3;0;101;0;37;329;1;0;45;0;3;1;1;201;3
540382;Mikulovice;2110;1141;1117;54;2;0;78;2;99;160;7;6;10;2;0;55;0;18;369;0;4;62;0;6;1;5;173;4
569330;Ostružná;198;151;146;32;0;0;6;0;17;13;0;0;2;0;0;20;1;12;25;0;0;4;0;3;1;0;10;0
540684;Písečná;818;457;457;33;1;1;35;1;33;54;1;3;3;0;0;21;0;17;112;0;2;10;0;6;0;2;122;0
553484;Skorošice;626;357;349;16;0;0;29;0;19;54;1;1;3;0;0;17;0;6;145;1;0;15;0;1;0;0;40;1
541036;Stará Červená Voda;496;241;239;7;0;0;17;0;19;20;2;0;1;0;0;15;1;15;108;0;0;2;0;0;0;1;31;0
541117;Supíkovice;551;300;298;6;1;1;19;0;18;37;5;0;0;0;3;15;0;5;113;0;0;16;2;2;1;0;54;0
541214;Uhelná;406;221;217;11;0;0;19;0;11;17;2;0;1;0;0;14;0;4;83;0;0;24;0;0;1;3;27;0
541249;Vápenná;1047;558;555;16;2;0;42;0;28;60;3;4;8;3;0;30;2;21;227;0;0;24;0;0;0;1;83;1
553468;Velká Kraš;612;300;296;8;0;0;28;1;25;29;3;0;3;1;0;13;0;7;125;0;1;2;1;0;1;4;44;0
569453;Velké Kunětice;461;263;261;2;0;0;15;0;13;43;0;3;0;0;1;10;1;3;101;0;1;7;0;0;0;1;60;0
541303;Vidnava;1051;543;535;37;0;1;63;2;22;37;6;2;3;0;1;31;0;14;195;0;2;21;1;2;1;1;93;0
541346;Vlčice;348;196;196;7;0;0;16;0;4;21;3;1;2;0;0;23;0;7;62;0;0;15;0;4;0;0;28;3
597996;Zlaté Hory;3328;1698;1689;116;2;0;184;1;89;156;15;12;37;3;1;123;2;47;541;0;10;71;1;12;3;5;255;3
541575;Žulová;1032;590;588;30;0;1;49;1;27;95;8;5;2;1;0;32;1;10;206;2;1;19;0;2;3;4;88;1
